"Factor","Statistic","P_value","P_adjusted"
"Factor1",15.512,0.000428105892964715,0.00428105892964715
"Factor4",10.828,0.00445489954034415,0.0171058084264511
"Factor8",10.545,0.00513174252793534,0.0171058084264511
"Factor3",5.381,0.067861567447056,0.16965391861764
"Factor2",1.852,0.396092891398625,0.763127834833517
"Factor7",1.562,0.45787670090011,0.763127834833517
"Factor6",0.921,0.631119864922679,0.823293244426204
"Factor10",0.769,0.680860795747891,0.823293244426204
"Factor9",0.6,0.740963919983583,0.823293244426204
"Factor5",0.04,0.980225445913367,0.980225445913367
