"Factor","Statistic","P_value","P_adjusted"
"Factor10",4.115,0.127788830086037,0.713386205601332
"Factor1",3.26,0.195912611261751,0.713386205601332
"Factor2",3.083,0.2140158616804,0.713386205601332
"Factor5",1.879,0.390794272815006,0.943261719224194
"Factor3",1.051,0.591370443306512,0.943261719224194
"Factor6",0.786,0.675096164537718,0.943261719224194
"Factor8",0.587,0.745694818609934,0.943261719224194
"Factor4",0.247,0.883899866534426,0.943261719224194
"Factor9",0.149,0.928139613367039,0.943261719224194
"Factor7",0.117,0.943261719224194,0.943261719224194
