"Factor","Statistic","P_value","P_adjusted"
"Factor5",7.138,0.0281876581822168,0.172534272587686
"Factor2",6.733,0.0345068545175373,0.172534272587686
"Factor9",3.517,0.172285737254699,0.443850650636921
"Factor7",3.457,0.177540260254768,0.443850650636921
"Factor4",2.901,0.234508110235621,0.469016220471243
"Factor10",1.72,0.423210133520908,0.705350222534846
"Factor6",0.973,0.614917695929869,0.783140603667515
"Factor8",0.797,0.671372398314685,0.783140603667515
"Factor1",0.498,0.779705454446432,0.783140603667515
"Factor3",0.489,0.783140603667515,0.783140603667515
