"Factor","Statistic","P_value","P_adjusted"
"Factor2",22.246,1.47701285447622e-05,0.000147701285447622
"Factor8",16.843,0.000220097467555767,0.00110048733777883
"Factor7",13.212,0.00135219207704897,0.00450730692349657
"Factor3",5.925,0.0516870514897956,0.129217628724489
"Factor4",4.932,0.0849097757643677,0.169819551528735
"Factor6",4.375,0.112217476603589,0.171100267269178
"Factor5",4.244,0.119770187088425,0.171100267269178
"Factor1",3.364,0.186006988552412,0.232508735690515
"Factor9",1.987,0.370222291829605,0.411358102032895
"Factor10",0.631,0.72953369076518,0.72953369076518
