"Factor","Statistic","P_value","P_adjusted"
"Factor7",8.851,0.0313454227878501,0.313454227878501
"Factor6",5.466,0.140689105822227,0.49738623890933
"Factor3",4.754,0.19069062137499,0.49738623890933
"Factor9",4.25,0.235751744145924,0.49738623890933
"Factor10",4.121,0.248693119454665,0.49738623890933
"Factor2",3.653,0.301401097577196,0.497617630128044
"Factor4",3.201,0.361680247347608,0.497617630128044
"Factor5",2.746,0.432511805206983,0.497617630128044
"Factor8",2.655,0.44785586711524,0.497617630128044
"Factor1",1.48,0.68686577513762,0.68686577513762
