Patient_ID,Adipocytes,Astrocytes,B-cells,Basophils,CD4+ T-cells,CD4+ Tcm,CD4+ Tem,CD4+ memory T-cells,CD4+ naive T-cells,CD8+ T-cells,CD8+ Tcm,CD8+ Tem,CD8+ naive T-cells,CLP,CMP,Chondrocytes,Class-switched memory B-cells,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,GMP,HSC,Hepatocytes,Keratinocytes,MEP,MPP,MSC,Macrophages,Macrophages M1,Macrophages M2,Mast cells,Megakaryocytes,Melanocytes,Memory B-cells,Mesangial cells,Monocytes,Myocytes,NK cells,NKT,Neurons,Neutrophils,Osteoblast,Pericytes,Plasma cells,Platelets,Preadipocytes,Sebocytes,Skeletal muscle,Smooth muscle,Tgd cells,Th1 cells,Th2 cells,Tregs,aDC,cDC,iDC,ly Endothelial cells,mv Endothelial cells,naive B-cells,pDC,pro B-cells,ImmuneScore,StromaScore,MicroenvironmentScore
01BR001,0.0385,0.0327,0.0,0.1325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147,0.0,0.0186,0.0052,0.0,0.0126,0.0,0.1554,0.0,0.0,0.0,0.011,0.0,0.0318,0.0003,0.0,0.0,0.0082,0.0167,0.0,0.0023,0.0006,0.0197,0.0067,0.0165,0.0,0.0062,0.0,0.0913,0.0008,0.0072,0.0272,0.0,0.0067,0.0,0.0137,0.0175,0.0,0.2419,0.0,0.0622,0.1785,0.0,0.016,0.0299,0.0017,0.0003,0.0108,0.0,0.0,0.0103,0.0118,0.0256,0.0374
01BR008,0.0,0.0,0.5911,0.2646,0.0,0.0,0.0,0.0528,0.0504,0.1691,0.2027,0.1077,0.0169,0.0001,0.0,0.0,0.1684,0.0242,0.0066,0.0,0.0692,0.0,0.0,0.0,0.0,0.0022,0.0095,0.0418,0.0,0.1008,0.1167,0.1375,0.0,0.0272,0.0,0.0156,0.2298,0.0099,0.0,0.0,0.0,0.1213,0.0,0.0,0.0009,0.0,0.1111,0.0,0.028,0.0065,0.0,0.0,0.0,0.4321,0.323,0.0,0.3086,0.0814,0.0249,0.0,0.0263,0.0306,0.1655,0.1396,0.6189,0.0033,0.6222
01BR009,0.0,0.1452,0.0679,0.1288,0.0,0.0,0.0108,0.0055,0.0,0.0047,0.0,0.0,0.0,0.0004,0.0,0.1249,0.0281,0.0158,0.0894,0.0,0.1259,0.0,0.0,0.0,0.0895,0.0019,0.0621,0.006,0.0,0.0623,0.0921,0.0952,0.0009,0.0077,0.0017,0.0357,0.0033,0.0273,0.0047,0.0128,0.0,0.0582,0.0021,0.0,0.0523,0.074,0.0721,0.0,0.0199,0.0359,0.0066,0.1566,0.0,0.0235,0.1151,0.0059,0.0752,0.0592,0.1867,0.023,0.0531,0.0,0.0216,0.0133,0.1286,0.0447,0.1733
01BR010,0.0382,0.0729,0.0,0.0,0.0,0.0,0.0499,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.019,0.0081,0.0322,0.0098,0.0091,0.134,0.0,0.0,0.0,0.047,0.0,0.0127,0.0438,0.0,0.4469,0.0163,0.0114,0.0,0.0,0.0003,0.0043,0.0,0.0,0.0,0.0,0.0,0.1918,0.0001,0.0,0.0,0.0,0.0103,0.0,0.0,0.0123,0.0,0.1002,0.0,0.0445,0.053,0.0,0.0,0.1041,0.3246,0.0,0.0054,0.0,0.0112,0.0,0.0384,0.024,0.0624
01BR015,0.0232,0.0048,0.0,0.0947,0.0,0.0,0.0275,0.0199,0.0,0.0058,0.0,0.0,0.0001,0.0072,0.0045,0.0418,0.0361,0.0136,0.0415,0.0,0.0855,0.0,0.0181,0.0,0.1176,0.0,0.0021,0.0112,0.0,0.2658,0.0713,0.0326,0.0289,0.0258,0.0042,0.0035,0.0,0.0211,0.0,0.0,0.0,0.0697,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0064,0.0002,0.1515,0.0,0.0312,0.0632,0.0,0.1378,0.0815,0.0232,0.0085,0.0224,0.0,0.0,0.0,0.0777,0.0414,0.1191
01BR017,0.0434,0.0639,0.059,0.1392,0.0,0.0,0.0132,0.0382,0.0,0.0142,0.0484,0.0,0.0,0.0,0.0,0.027,0.0357,0.0325,0.0169,0.0045,0.1231,0.0,0.0,0.0,0.0075,0.0003,0.0172,0.048,0.0,0.0759,0.1141,0.113,0.0,0.0148,0.0,0.0104,0.013,0.0245,0.0,0.0,0.0,0.084,0.0,0.0,0.0196,0.0,0.0239,0.0,0.0432,0.0132,0.0,0.2298,0.0,0.061,0.2848,0.0,0.1499,0.0969,0.2476,0.0,0.007,0.0,0.0497,0.0082,0.1594,0.0302,0.1896
01BR018,0.0058,0.1395,0.1267,0.161,0.0,0.0,0.0,0.0763,0.0,0.0397,0.1074,0.0235,0.0062,0.0075,0.0,0.0588,0.1058,0.0696,0.0038,0.0,0.0831,0.0003,0.056,0.0,0.0,0.0018,0.0567,0.0397,0.0,0.0445,0.0727,0.057,0.0,0.0091,0.0,0.0281,0.0451,0.0523,0.0,0.003,0.0,0.0173,0.002,0.0,0.0,0.0184,0.0184,0.0,0.0,0.0312,0.0007,0.1154,0.0,0.1213,0.3612,0.0055,0.2024,0.3793,0.3381,0.0,0.0104,0.0013,0.1258,0.0342,0.2119,0.0328,0.2447
01BR020,0.0155,0.1284,0.0867,0.0185,0.0089,0.0,0.0768,0.0456,0.0,0.0628,0.0325,0.0285,0.0085,0.02,0.0,0.0,0.0287,0.0212,0.016,0.0,0.0215,0.0019,0.0,0.0,0.0318,0.0,0.0033,0.0366,0.0,0.0892,0.1205,0.0796,0.0307,0.0059,0.0,0.0043,0.0176,0.0,0.0,0.0008,0.0,0.0135,0.0007,0.0,0.0173,0.0125,0.014,0.0138,0.0288,0.0013,0.0,0.1344,0.0,0.1619,0.2986,0.0213,0.1549,0.1437,0.0738,0.0,0.013,0.0,0.0234,0.0587,0.204,0.0158,0.2198
01BR023,0.0,0.0,0.0,0.1837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0173,0.0,0.0,0.0272,0.0,0.0085,0.0,0.0248,0.0,0.0,0.0,0.0403,0.0,0.0,0.0645,0.0,0.0086,0.0,0.0,0.0,0.0214,0.0,0.013,0.0,0.0,0.0,0.0038,0.0,0.0664,0.0045,0.0,0.0905,0.0,0.0053,0.0,0.0479,0.0,0.0,0.306,0.0,0.1341,0.0,0.0,0.0,0.0018,0.0,0.0,0.0138,0.0,0.0,0.0,0.0143,0.0042,0.0185
01BR025,0.0,0.0,0.0068,0.1362,0.0,0.0,0.0,0.0134,0.0,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0277,0.0,0.0036,0.0,0.0592,0.0005,0.0,0.0,0.0293,0.0,0.0,0.0314,0.0,0.0303,0.0749,0.0421,0.0038,0.0224,0.0,0.0122,0.0,0.0137,0.0,0.0025,0.0,0.0867,0.0026,0.0005,0.0263,0.0,0.011,0.0,0.0437,0.0062,0.0,0.2697,0.0,0.0647,0.068,0.0,0.0168,0.0538,0.0,0.0,0.0,0.0,0.0,0.0,0.0697,0.0018,0.0715
