"PC","Variance_Explained"
"PC1",5.501
"PC2",4.013
"PC3",3.455
"PC4",2.526
"PC5",2.483
"PC6",2.418
"PC7",2.276
"PC8",2.109
"PC9",2.054
"PC10",1.912
"PC11",1.869
"PC12",1.787
"PC13",1.763
"PC14",1.672
"PC15",1.565
"PC16",1.497
"PC17",1.449
"PC18",1.395
"PC19",1.362
"PC20",1.315
"PC21",1.309
"PC22",1.277
"PC23",1.209
"PC24",1.163
"PC25",1.16
"PC26",1.115
"PC27",1.104
"PC28",1.061
"PC29",1.047
"PC30",1.023
"PC31",1
"PC32",0.971
"PC33",0.941
"PC34",0.934
"PC35",0.927
"PC36",0.911
"PC37",0.896
"PC38",0.88
"PC39",0.868
"PC40",0.864
"PC41",0.852
"PC42",0.848
"PC43",0.825
"PC44",0.823
"PC45",0.796
"PC46",0.79
"PC47",0.776
"PC48",0.772
"PC49",0.749
"PC50",0.743
"PC51",0.725
"PC52",0.719
"PC53",0.708
"PC54",0.705
"PC55",0.698
"PC56",0.685
"PC57",0.679
"PC58",0.663
"PC59",0.653
"PC60",0.643
"PC61",0.628
"PC62",0.626
"PC63",0.621
"PC64",0.619
"PC65",0.613
"PC66",0.607
"PC67",0.6
"PC68",0.598
"PC69",0.586
"PC70",0.576
"PC71",0.569
"PC72",0.563
"PC73",0.56
"PC74",0.558
"PC75",0.551
"PC76",0.544
"PC77",0.522
"PC78",0.514
"PC79",0.511
"PC80",0.504
"PC81",0.499
"PC82",0.489
"PC83",0.485
"PC84",0.485
"PC85",0.481
"PC86",0.473
"PC87",0.458
"PC88",0.443
"PC89",0.441
"PC90",0.435
"PC91",0.431
"PC92",0.422
"PC93",0.417
"PC94",0.406
"PC95",0.402
"PC96",0.389
"PC97",0.376
"PC98",0.37
"PC99",0.366
"PC100",0.33
"PC101",0
